Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 14.7402, relres: 0.234753, relerr: 1.44147
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 14.707, relres: 0.213772, relerr: 1.30798
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 14.6464, relres: 0.000137106, relerr: 0.000573013
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 14.7389, relres: 0.233053, relerr: 1.17064
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 14.7997, relres: 0.139091, relerr: 0.673866
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 14.7881, relres: 0.217365, relerr: 1.12936
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 17.187, relres: 0.000534591, relerr: 0.00217889
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 16.0021, relres: 0.168128, relerr: 0.909356
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 15.9313, relres: 0.20644, relerr: 1.20707
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 19.7403, relres: 0.157284, relerr: 0.798264
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 17.4462, relres: 0.165467, relerr: 0.684261
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 17.0378, relres: 0.207363, relerr: 1.19559
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 15.284, relres: 0.193524, relerr: 1.16535
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 14.6302, relres: 0.199966, relerr: 1.24454
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 14.5017, relres: 0.221176, relerr: 1.32559
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 14.6172, relres: 0.146391, relerr: 0.678388
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 14.7177, relres: 0.201929, relerr: 0.931405
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 14.5926, relres: 0.243819, relerr: 1.61498
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 14.7139, relres: 0.185922, relerr: 1.09277
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 14.5207, relres: 0.197501, relerr: 1.13446
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 14.6011, relres: 0.178247, relerr: 1.16727
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 17.8272, relres: 0.197944, relerr: 1.04671
